name ,date,ISIN ,issue date,coupon ,maturity date ,closing price ,yield to maturity 
CAN 2.75 Jun 22,2021-01-20,CA135087ZU15,2011-08-02,0.0275,2022-06-01,103.57,0.0013
CAN 2.75 Jun 22,2021-01-21,CA135087ZU15,2011-08-02,0.0275,2022-06-01,103.54,0.0013
CAN 2.75 Jun 22,2021-01-22,CA135087ZU15,2011-08-02,0.0275,2022-06-01,103.54,0.0013
CAN 2.75 Jun 22,2021-01-25,CA135087ZU15,2011-08-02,0.0275,2022-06-01,103.51,0.0013
CAN 2.75 Jun 22,2021-01-26,CA135087ZU15,2011-08-02,0.0275,2022-06-01,103.51,0.0013
CAN 2.75 Jun 22,2021-01-27,CA135087ZU15,2011-08-02,0.0275,2022-06-01,103.52,0.0013
CAN 2.75 Jun 22,2021-01-28,CA135087ZU15,2011-08-02,0.0275,2022-06-01,103.5,0.0013
CAN 2.75 Jun 22,2021-01-29,CA135087ZU15,2011-08-02,0.0275,2022-06-01,103.5,0.0013
CAN 2.5 Jun 24,2021-01-18,CA135087B451,2013-07-02,0.025,2024-06-01,107.51,0.0025
CAN 2.5 Jun 24,2021-01-19,CA135087B451,2013-07-02,0.025,2024-06-01,107.53,0.0025
CAN 2.5 Jun 24,2021-01-20,CA135087B451,2013-07-02,0.025,2024-06-01,107.5,0.0025
CAN 2.5 Jun 24,2021-01-21,CA135087B451,2013-07-02,0.025,2024-06-01,107.46,0.0025
CAN 2.5 Jun 24,2021-01-22,CA135087B451,2013-07-02,0.025,2024-06-01,107.47,0.0025
CAN 2.5 Jun 24,2021-01-25,CA135087B451,2013-07-02,0.025,2024-06-01,107.46,0.0025
CAN 2.5 Jun 24,2021-01-26,CA135087B451,2013-07-02,0.025,2024-06-01,107.47,0.0025
CAN 2.5 Jun 24,2021-01-27,CA135087B451,2013-07-02,0.025,2024-06-01,107.53,0.0025
CAN 2.5 Jun 24,2021-01-28,CA135087B451,2013-07-02,0.025,2024-06-01,107.48,0.0025
CAN 2.5 Jun 24,2021-01-29,CA135087B451,2013-07-02,0.025,2024-06-01,107.48,0.0025
CAN 2.25 Jun 25,2021-01-18,CA135087D507,2014-06-30,0.0225,2025-06-01,108.15,0.0036
CAN 2.25 Jun 25,2021-01-19,CA135087D507,2014-06-30,0.0225,2025-06-01,108.14,0.0036
CAN 2.25 Jun 25,2021-01-20,CA135087D507,2014-06-30,0.0225,2025-06-01,108.12,0.0036
CAN 2.25 Jun 25,2021-01-21,CA135087D507,2014-06-30,0.0225,2025-06-01,108.03,0.0036
CAN 2.25 Jun 25,2021-01-22,CA135087D507,2014-06-30,0.0225,2025-06-01,108.08,0.0036
CAN 2.25 Jun 25,2021-01-25,CA135087D507,2014-06-30,0.0225,2025-06-01,108.15,0.0036
CAN 2.25 Jun 25,2021-01-26,CA135087D507,2014-06-30,0.0225,2025-06-01,108.12,0.0036
CAN 2.25 Jun 25,2021-01-27,CA135087D507,2014-06-30,0.0225,2025-06-01,108.2,0.0036
